Time,PopBio,log_PopBio,Temp,Time_units,PopBio_units,log_PopBio_units,Species,Medium,rep,Citation
8.10796462920274,1237.27132226642,7.120663687279312,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
76.2228073438572,379.573588451414,5.939048487000655,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
169.565369582458,4338.17851375147,8.375209841704603,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
245.248528154296,6383.45772515648,8.761465192720497,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
295.703967202188,8428.73693656151,9.039402210180945,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
416.797020917129,12717.2256056366,9.450712700339647,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
583.299969775174,20106.6214661967,9.908804465977218,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
747.280146680823,18589.1562448316,9.83033369210242,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
825.486077205056,19446.8539786466,9.875440586793944,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
949.101902872392,19116.9702348717,9.858331713529935,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1014.69397363465,19908.6912199317,9.898911660087554,8,Hours,N,ln(N),Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
